NAME,NTEE_CD,Category,Location,lat_lon
DIGNITY SEED FOUNDATION,W12,W,"4207 LAKE TERRACE DR, KALAMAZOO, MI, 49008-2511","(-85.6298865876239, 42.25045869493441)"
MICHIGAN STATE UNIVERSITY,O52,O,"362 GREEN ST, CARO, MI, 48723-1910","(-83.39479643463362, 43.4842735012248)"
FRIENDS OF WALKER MEMORIAL LIBRARY,W99,W,"1522 RUDDIMAN DR, N MUSKEGON, MI, 49445-3038","(-86.26738589795919, 43.25641697959183)"
HARTLAND VILLAGE ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,B94,B,"10632 HIBNER RD, HARTLAND, MI, 48353-1130","(-83.7467465487805, 42.65694635365854)"
STATE LINE GEM AND MINERAL SOCIETY,U36,U,"419 N BROAD ST, ADRIAN, MI, 49221-2127","(-84.03201193877551, 41.90157)"
MICHIGAN STATE UNIVERSITY,O52,O,"201 W KALAMAZOO AVE, KALAMAZOO, MI, 49007-3726","(-85.587037, 42.2944382)"
METRO DETROIT BARBER COLLEGE,B30,B,"7443 W MCNICHOLS RD, DETROIT, MI, 48221-2650","(-83.14563128571429, 42.417049142857145)"
GREATER LANSING AREA CLEAN CITIES,C35,C,"209 KENSINGTON RD, EAST LANSING, MI, 48823-4005","(-84.4980767612481, 42.73511888140031)"
WHITMORE LAKE FOUNDATION FOR EDUCATIONAL EXCELLENCE,B90,B,"8845 MAIN ST, WHITMORE LAKE, MI, 48189-9249","(-83.76118985411209, 42.41364141530378)"
CONSTRUCTION ASSOCIATION OF MICHIGAN FOUNDATION INC,B99,B,"43636 WOODWARD AVENUE, BLOOMFIELD HILLS, MI, 48302-5055","(-83.256761, 42.595893)"
DEVINE FELLOWSHIP OF CHURCHES INTERNATIONAL,X202,X,"21 W GRIXDALE, DETROIT, MI, 48203-1943","(-83.1070655, 42.4275067)"
GATEWAY TO GLORY,L40,L,"30607 ELEANOR CT, CHESTERFIELD, MI, 48051-1257","(-82.80111422322312, 42.71120319621949)"
MODEST FOUNDATION,T30,T,"15819 SCHOOLCRAFT ST, DETROIT, MI, 48227-1749","(-83.202222, 42.386887)"
WESLEY CHAPEL MISSIONARY BAPTIST CHURCH INC,X21,X,"1807 CONCORD ST, DETROIT, MI, 48207-3605","(-83.01053414963077, 42.35350205)"
EXCELLENT INC,E30,E,"19319 BIRCHRIDGE ST, SOUTHFIELD, MI, 48075-5837","(-83.23305887953497, 42.45522219770161)"
INTERNATIONAL FURNITURE TRANSPORTATION AND LOGISTICS,S46Z,S,"1151 ROBIN DR, MONROE, MI, 48161-1267","(-83.39512975982838, 41.90068024017162)"
REVERE ELDERLY HOUSING INC,L22Z,L,"8425 E 12 MILE RD, WARREN, MI, 48093-2738","(-83.0112146, 42.5069648)"
CITY SQUARE ELDERLY HOUSING INC,L22Z,L,"8425 E 12 MILE RD, WARREN, MI, 48093-2738","(-83.0112146, 42.5069648)"
ROSLINDALE SENIOR NON PROFIT HOUSING INC,L220,L,"8425 E 12 MILE RD, WARREN, MI, 48093-2738","(-83.0112146, 42.5069648)"
THE@ROBERT G ROGERS AND JANE E ROGERS FAMILY FOUNDATION INC,T12,T,"3 SOVEREIGN DR, BAY CITY, MI, 48708-6940","(-83.85787124683957, 43.59406060694792)"
JAMAICA PLAIN NON-PROFIT HOUSING CORPORATION,L21,L,"8425 E 12 MILE RD, WARREN, MI, 48093-2738","(-83.0112146, 42.5069648)"
LIGHTHOUSE MISSION,X20,X,"3345 MILITARY STREET, PORT HURON, MI, 48060-6680","(-82.44521353652001, 42.94468617509332)"
NANAY INC MICHIGAN CHAPTER,P99,P,"17356 NORTHLAND PARK CT, SOUTHFIELD, MI, 48075-4303","(-83.21693751664115, 42.44546697591386)"
MICHIGAN STATE UNIVERSITY,O52,O,"775 BALL AVE NE, GRAND RAPIDS, MI, 49503-1307","(-85.63069569129999, 42.9771223)"
FREEDOM IN CHRIST MINISTRIES INC,X20,X,"6615 COURTLAND DRIVE NE, ROCKFORD, MI, 49341-0000","(-85.542929, 43.120673)"
MICHIGAN YOUTH RUGBY ASSOCIATION,N60,N,"200 TOWN CENTER, SOUTHFIELD, MI, 48075-0000","(-83.2432779, 42.4743605)"
HISPANIC LATINO MISSION SOCIETY OF MICHIGAN,T12,T,"1701 KENWOOD AVE, FLINT, MI, 48503-4710","(-83.713153, 42.999861)"
VETERANS MEMORIAL PARK OF DETROIT INC,S20,S,"39869 DULUTH ST, HARRISON TWP, MI, 48045-1511","(-82.8347469780326, 42.59527094161965)"
CHILDRENS MINISTRIES INC,P30,P,"938 CARVER ST, TRAVERSE CITY, MI, 49686-4216","(-85.5994075510204, 44.747779040816326)"
INTERNATIONAL EVANGELISM AND PRAYER CENTER,X21,X,"1206 GEORGINA DR, YPSILANTI, MI, 48198-6314","(-83.592254875, 42.228086812499996)"
CREATIVE MEDIA PRODUCTIONS,A20,A,"282 CHERRY LN, INKSTER, MI, 48141-1499","(-83.29348020422614, 42.30929754849903)"
FRIENDS OF THE HARPER WOODS LIBRARY,B117,B,"19916 DAMMAN ST, HARPER WOODS, MI, 48225-1768","(-82.92953643243243, 42.440515909909905)"
RESOLUTE ADULT LIVING FACILITY,L21,L,"1414 EASTERN AVE SE, GRAND RAPIDS, MI, 49507-2024","(-85.6477433, 42.9230906)"
J & V MANAGEMENT CONSULTING FIRMS,J20,J,"600 FAIRVIEW ST, DETROIT, MI, 48214-3232","(-82.971403, 42.362165)"
DORIS TUINSTRA FOUNDATION,T20,T,"4443 RESTMOR ST SW, GRANDVILLE, MI, 49418-2230","(-85.77353284683471, 42.892725659979945)"
STEWARDS IN ACTION,B60,B,"101 E DELANO AVE, MUSKEGON HTS, MI, 49444-1106","(-86.241802, 43.214115)"
