NAME,NTEE_CD,Category,Location,lat_lon
VOICES OF RWANDA,Q20,Q,"7203 54TH AVE S, SEATTLE, WA, 98118-4203","(-122.2665243613674, 47.537710950000005)"
SIFTON ELEMENTARY PTO,B11,B,"7301 NE 137TH AVE, VANCOUVER, WA, 98682-4608","(-122.5301815666875, 45.67551855000001)"
RENAISSANCE SCHOOL PTSA,B94,B,"4000 228TH AVE NE, SAMMAMISH, WA, 98074-0000","(-122.0355729, 47.6111105)"
GARFIELD SCIENCE FOUNDATION,B11,B,"400 23RD AVE, SEATTLE, WA, 98122-6025","(-122.30126770956261, 47.6055267)"
KENNEY FOUNDATION,I11,I,"7125 FAUNTLEROY WAY SW, SEATTLE, WA, 98136-2008","(-122.3915594, 47.5385971)"
WOODINVILLE FIRE AND LIFE SAFETY DISTRICT,M24,M,"175 NEWPORT WAY NW, ISSAQUAH, WA, 98027-3104","(-122.04338646013662, 47.53247325600411)"
MEADOWDALE MIDDLE SCHOOL PARENTS CLUB,B99,B,"6500 168TH ST SW, LYNNWOOD, WA, 98037-2734","(-122.32042788427702, 47.84653647412205)"
NEC DEALERS ASSOCIATION,S41,S,"229 S WENATCHEE AVE, WENATCHEE, WA, 98801-3061","(-120.30899709184047, 47.42181556852462)"
WORLD HONGMING FOUNDATION,B82,B,"31978 36TH AVE SW, FEDERAL WAY, WA, 98023-2138","(-122.37787772916315, 47.314506300000005)"
WASHINGTON STATE POTATO CONFERENCE AND TRADE SHOW,N52,N,"108 S INTERLAKE RD, MOSES LAKE, WA, 98837-2950","(-119.31480531359557, 47.10447955954531)"
NEW LIFE MINISTRIES-VIATA 9,X20,X,"1529 SILVER LAKE RD, EVERETT, WA, 98208-2536","(-122.21143106704416, 47.895893618488174)"
SUNNYSIDE POLICE OFFICERS GUILD,J40,J,"401 HOMER ST, SUNNYSIDE, WA, 98944-1354","(-120.02319078633985, 46.32865885677303)"
FIRST PURSUIT,X21,X,"10917 48TH ST E, EDGEWOOD, WA, 98372-2604","(-122.28352529161778, 47.214246287406674)"
JAYCOX GIG HARBOR POLICE BENEVOLENT FUND,P20,P,"3510 GRANDVIEW ST, GIG HARBOR, WA, 98335-1214","(-122.5850924, 47.3223338)"
LIFECHANGE CHRISTIAN COUNSELING,P46,P,"3714 84TH ST E, TACOMA, WA, 98446-2616","(-122.420872, 47.1808655)"
PACIFIC INTERMOUNTAIN PARKING AND TRANSPORTATION ASSOCIATION,S41,S,"942 PACIFIC AVE, TACOMA, WA, 98402-4402","(-122.4389464074074, 47.25424392592593)"
REGIONAL BAHAI COUNCIL OF THE NORTHWEST,X99Z,X,"13114 NE 203RD PL, WOODINVILLE, WA, 98072-5716","(-122.1263567, 47.7751463)"
SHIBA INU RESCUE RESOURCES OF AMERICA,D20,D,"4219 SW 315TH ST, FEDERAL WAY, WA, 98023-2132","(-122.3865920037536, 47.3200413)"
COLFAX DOWNTOWN ASSOCIATION,S30,S,"102 S MAIN ST, COLFAX, WA, 99111-1863","(-117.36506579708148, 46.88068045)"
CASCADE MONTESSORI MIDDLE SCHOOL,B20,B,"2710 MCKENZIE AVE, BELLINGHAM, WA, 98225-6940","(-122.48172, 48.7189385)"
KINGSTON HIGH SCHOOL ATHLETIC BOOSTERS,B11,B,"10193 NE BERRY ST, KINGSTON, WA, 98346-9641","(-122.51177736363637, 47.816594)"
RESTORE & REPAIR MISSIONARY OUTREACH,P40,P,"10030 51ST AVE S, SEATTLE, WA, 98178-2158","(-122.26971345066178, 47.51020525)"
COURTYARD MEDIA FOUNDATION,N20,N,"2122 36TH ST SE, SNOHOMISH, WA, 98290-9299","(-121.9664594, 47.9647135)"
THE ALLIANCE FOR MEDIA ARTS - CULTURE INC,A300,A,"1919 S SYRINGA RD, SPOKANE, WA, 99203-3463","(-117.39670255050542, 47.637595683623026)"
MEDIGRACE INC,B64Z,B,"908 NW 97TH ST, SEATTLE, WA, 98117-2245","(-122.36936333190584, 47.7003412)"
