NAME,NTEE_CD,Category,Location,lat_lon
FISHERS OF MEN MINISTRIES INC,X20,X,"2423 W 49TH ST, DAVENPORT, IA, 52806-3504","(-90.61294962887546, 41.570016842361746)"
SOUTHWEST IOWA REC,M20,M,"1801 GROVE AVE, CORNING, IA, 50841-1057","(-94.738251, 41.000895)"
PERRY AREA CHILD DEVELOPMENT CORPORATION,P33,P,"920 18TH ST, PERRY, IA, 50220-2469","(-94.08202979591837, 41.83722771428571)"
COMMUNITY HEALTH CENTER OF FORT DODGE INC,E70,E,"126 N 10TH ST, FORT DODGE, IA, 50501-3915","(-94.18519318367346, 42.50675412244898)"
ECHO VALLEY ARCHERY CLUB,N50,N,"114 HOLLYWOOD BLVD, WEST UNION, IA, 52175-1010","(-91.80812442857143, 42.97089185714285)"
OUTREACH INC,Q30,Q,"301 CENTER ST, UNION, IA, 50258-7810","(-93.0626284387755, 42.24517208163265)"
I CAN READ,B99,B,"1826 BROWN DEER CV, CORALVILLE, IA, 52241-1169","(-91.57194835516832, 41.69796283746779)"
OAKLAND VOLUNTEER FIRE AND RESCUE DEPARTMENT,M24,M,"706 PARK LN, OAKLAND, IA, 51560-4054","(-95.3874327, 41.3170489)"
IOWA SCRIPTWRITERS ALLIANCE,A03,A,"3028 104TH ST, URBANDALE, IA, 50322-3810","(-93.7628259, 41.6227325)"
IDA GROVE COMMUNITY FOUNDATION INC,S20,S,"403 3RD ST, IDA GROVE, IA, 51445-1312","(-95.47013489795918, 42.343762)"
CORNERSTONE SENIOR COMMUNITIES OF REMSEN,P75,P,"423 ROOSEVELT ST, REMSEN, IA, 51050-1074","(-95.966711, 42.8092997)"
FRIENDS OF JOHNSTON ELP,B11,B,"6412 WILCOT CT, JOHNSTON, IA, 50131-2859","(-93.745604596525, 41.67648991918898)"
BULLDOG BUILDERS INC,O50,O,"302 SW 8TH ST, OGDEN, IA, 50212-7410","(-94.03805992360705, 42.03587295)"
ROBERT LUCAS PARENT-TEACHER ORGANIZATION,B112,B,"830 SOUTHLAWN DR, IOWA CITY, IA, 52245-5433","(-91.49272270505725, 41.65203611877322)"
IOWA TOBACCO PREVENTION ALLIANCE,P20,P,"4601 OVID AVE, DES MOINES, IA, 50310-3549","(-93.68054094845361, 41.62545902061856)"
AIR FORCE ASSOCIATION,B034,B,"300 S 11TH ST, MARION, IA, 52302-4537","(-91.598192, 42.026366)"
