NAME,NTEE_CD,Category,Location,lat_lon
PRAIRIE LAKES HEALTH CARE FOUNDATION,E21I,E,"401 9TH AVE NW, WATERTOWN, SD, 57201-1548","(-97.121149575, 44.91085305)"
WATERTOWN COMMUNITY FOUNDATION,T31,T,"211 E KEMP AVE, WATERTOWN, SD, 57201-3643","(-97.11090381632654, 44.89980969387755)"
DAKOTA HERITAGE INC,A80,A,"46119 240TH ST, CHESTER, SD, 57016-7400","(-96.910629, 43.906278)"
LIFESCAPE FOUNDATION,E50J,E,"2501 W 26TH ST, SIOUX FALLS, SD, 57105-2498","(-96.75602870588236, 43.52934237254902)"
EAST RONDELL CEMETERY ASSOCIATION,Y50,Y,"40017 143RD ST, STRATFORD, SD, 57474-7200","(-98.2239245912567, 45.31337259051806)"
SIOUX EMPIRE GEM & MINERAL SOCIETY,C50,C,"711 W 7TH ST, CANTON, SD, 57013-2021","(-96.60079027239492, 43.29900020510551)"
HARTFORD AREA DEVELOPMENT FOUNDATION,S31,S,"125 N MAIN AVE, HARTFORD, SD, 57033-2166","(-96.945784, 43.62228528571429)"
AMERICAN LEGION AUXILIARY OF LAMNISON POST 147 DEPT OF SD,W30,W,"513 4TH ST W, BUFFALO, SD, 57720-0000","(-103.55114123584626, 45.586258337970214)"
AMERICAN LEGION,W30,W,"222 MAIN STREET NORTH, ESTELLINE, SD, 57234-0000","(-96.90239585714286, 44.57407336734694)"
ECONOMICS SCHOLARSHIP FUND INC,B82,B,"4215 RAIDER RD, RAPID CITY, SD, 57702-2100","(-103.292187, 44.076791)"
HAND COUNTY MEMORIAL HOSPITAL,E22,E,"225 W 4TH ST, MILLER, SD, 57362-1354","(-98.99160885714285, 44.519550510204084)"
CROSSROADS WESLEYAN CHURCH,P700,P,"1823 SHERIDAN LAKE RD, RAPID CITY, SD, 57702-4219","(-103.262226, 44.068008)"
VICTIMS OF VIOLENCE INTERVENTION PROGRAM INC,P43Z,P,"1429 N MAIN ST, SPEARFISH, SD, 57783-1427","(-103.86125596799695, 44.49791440301193)"
DELL RAPIDS SENIOR CITIZENS INC,P81Z,P,"514 E 4TH ST, DELL RAPIDS, SD, 57022-2010","(-96.709867, 43.82337328571429)"
HIGH PLAINS ARTS COUNCIL INC,A20,A,"701 SUNSET DR, GETTYSBURG, SD, 57442-1901","(-99.964619, 45.011296)"
BLACK HILLS CHILDRENS RANCH INC,P51,P,"1644 CONCOURSE DR, RAPID CITY, SD, 57703-4720","(-103.15853705, 44.070037049999996)"
NORTHERN BLACK HILLS CHAPTER OF THE AMERICAN BUSINESS WOMENS ASSOC,S41,S,"3308 10TH AVE, SPEARFISH, SD, 57783-9417","(-103.80499336734694, 44.467237)"
SPECIAL OLYMPICS SOUTH DAKOTA INC,N72Z,N,"800 E I-90 LN, SIOUX FALLS, SD, 57104-8902","(-96.716727, 43.606292)"
