NAME,NTEE_CD,Category,Location,lat_lon
GENE AND CAROL SHREVE MINISTRIES,X99,X,"451 BOONSHILL RD, FAYETTEVILLE, TN, 37334-6425","(-86.65129919551185, 35.18764267859335)"
ABES GARDEN,L22,L,"115 WOODMONT BLVD, NASHVILLE, TN, 37205-2280","(-86.84175903963923, 36.118738775615185)"
FRIENDS OF THE BARTLETT PUBLIC LIBRARY,B70,B,"5884 STAGE RD, BARTLETT, TN, 38134-4522","(-89.86678766746633, 35.20495285)"
COMMUNITY BAPTIST CHURCH OF SPRING HILL,X20,X,"1018 PARKWAY DR, SPRING HILL, TN, 37174-2876","(-86.88593673748787, 35.73910755)"
NOCHERA FAM FOUNDATION,T22,T,"1506 GARTLAND AVE, NASHVILLE, TN, 37206-2755","(-86.74345963420882, 36.17894772686268)"
LOVE CATHEDRAL MINISTRIES,X20,X,"131 BEN ALLEN RD, NASHVILLE, TN, 37207-3001","(-86.7575881, 36.2256219)"
AMERICAN MATHEMATICAL ASSOCIATION OF TWO YEAR COLLEGES INC,C99Z,C,"5983 MACON CV, MEMPHIS, TN, 38134-7642","(-89.8644336229167, 35.162830799360975)"
OAK GROVE PARENT CLUB,B11,B,"1645 FRANKLIN PIKE, LEWISBURG, TN, 37091-6916","(-86.80693943375908, 35.482785892135915)"
DEEPER STILL,X022,X,"1460 KENESAW AVE, KNOXVILLE, TN, 37919-7749","(-83.9630024561743, 35.932101912530044)"
VOLUNTEERS FOR CHINA,Q30,Q,"709 VERDANT LN, MARYVILLE, TN, 37804-6132","(-83.92355497346293, 35.77566242503305)"
BEARDEN YOUTH SPORTS FOOTBALL INC,T50,T,"7601 NAVARRE DR, KNOXVILLE, TN, 37919-7167","(-84.036246, 35.916328)"
PTA TENNESSEE CONGRESS OF PARENTS TEACHERS INC,B94,B,"5475 AIRLINE RD, ARLINGTON, TN, 38002-4068","(-89.66680714380173, 35.275547185885586)"
